epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5658,3.33252,33.6481,1.49931,0.40366,0.01688,0.05826,0.01892,2.8871,3.15424,1.42744,0.0802,0.0022,0.0022
2,44.3481,2.60158,3.219,1.18197,0.38179,0.12096,0.13218,0.04519,2.50901,2.36148,1.24614,0.0594852,0.00448515,0.00448515
3,67.3547,2.50794,2.21665,1.13713,0.233,0.20113,0.14621,0.05143,2.46587,7.33287,1.26474,0.0387551,0.00675512,0.00675512
4,89.8529,2.53632,2.15269,1.13224,0.13373,0.3699,0.10304,0.02452,2.57793,50.1176,1.35721,0.0180099,0.00900991,0.00900991
5,112.03,2.59572,2.01225,1.17226,0.18256,0.27989,0.12338,0.03205,2.75359,23.106,1.84823,0.009868,0.009868,0.009868
6,134.449,2.38497,1.7588,1.14153,0.22934,0.20816,0.1207,0.03662,2.62617,22.1377,1.52038,0.009835,0.009835,0.009835
7,157.233,2.40182,1.75597,1.14055,0.13879,0.14065,0.04891,0.01486,3.0514,6.9654,1.67333,0.009802,0.009802,0.009802
8,179.837,2.24,1.62458,1.09691,0.33141,0.2616,0.19617,0.05675,2.62862,4.553,1.34477,0.009769,0.009769,0.009769
9,202.791,2.24545,1.61251,1.10354,0.19039,0.18706,0.08796,0.02261,2.92005,3.82674,1.25327,0.009736,0.009736,0.009736
10,225.477,2.21645,1.58756,1.061,0.18873,0.1955,0.09722,0.02588,2.87484,5.22229,1.36868,0.009703,0.009703,0.009703
11,247.533,2.17072,1.52759,1.08875,0.09251,0.30098,0.0471,0.01504,2.46058,8.02807,1.2498,0.00967,0.00967,0.00967
12,270.084,2.12143,1.53619,1.06509,0.13389,0.18425,0.05446,0.0133,2.80586,5.20651,1.29218,0.009637,0.009637,0.009637
13,292.958,2.12436,1.51569,1.06071,0.3106,0.20956,0.16852,0.04905,2.70533,2.46755,1.23687,0.009604,0.009604,0.009604
14,315.76,2.16832,1.52472,1.07332,0.25429,0.28973,0.19895,0.06916,2.36062,2.98796,1.18193,0.009571,0.009571,0.009571
15,338.733,2.15209,1.51948,1.03355,0.3718,0.47961,0.34531,0.11869,2.20491,1.70575,1.11762,0.009538,0.009538,0.009538
16,361.434,2.10023,1.4215,1.04645,0.34211,0.42335,0.32118,0.11327,2.1354,1.75382,1.08841,0.009505,0.009505,0.009505
17,383.893,2.08585,1.48335,1.03853,0.34956,0.36006,0.27591,0.08115,2.48746,2.29413,1.18941,0.009472,0.009472,0.009472
18,405.866,2.04871,1.43767,1.03261,0.33726,0.45148,0.2742,0.09985,2.0628,1.80349,1.0621,0.009439,0.009439,0.009439
19,427.879,2.08661,1.45325,1.02686,0.42097,0.43601,0.38641,0.13614,2.20274,1.62284,1.10826,0.009406,0.009406,0.009406
20,449.998,2.00391,1.43049,1.02323,0.42346,0.39381,0.37158,0.13517,2.1864,1.5409,1.12228,0.009373,0.009373,0.009373
21,472.578,2.0206,1.40041,1.02043,0.36152,0.50914,0.38139,0.14058,1.98004,1.5947,1.05251,0.00934,0.00934,0.00934
22,494.885,1.97267,1.41106,1.02817,0.39084,0.5429,0.3776,0.15095,1.98287,1.45937,1.04677,0.009307,0.009307,0.009307
23,517.218,2.00634,1.39379,1.01373,0.27412,0.3263,0.19785,0.07732,2.2077,2.13394,1.13616,0.009274,0.009274,0.009274
24,539.307,1.97996,1.41909,1.00364,0.35865,0.54852,0.39394,0.14644,1.95705,1.63542,1.06753,0.009241,0.009241,0.009241
25,561.391,1.9671,1.375,1.01662,0.32464,0.47117,0.30562,0.10878,2.17055,1.57745,1.11638,0.009208,0.009208,0.009208
26,584.05,1.99797,1.38112,0.99627,0.42678,0.56821,0.46057,0.17069,2.05608,1.37141,1.07678,0.009175,0.009175,0.009175
27,606.59,1.90675,1.32609,0.99629,0.37681,0.4782,0.39899,0.14896,2.06627,1.55983,1.05236,0.009142,0.009142,0.009142
28,628.782,1.90967,1.32316,1.00111,0.41847,0.52428,0.46026,0.19056,1.99526,1.39098,1.04878,0.009109,0.009109,0.009109
29,650.896,1.88541,1.31138,0.98389,0.30837,0.24332,0.16891,0.06361,2.51409,2.18932,1.17797,0.009076,0.009076,0.009076
30,672.925,1.92169,1.35128,0.99067,0.43814,0.54993,0.44767,0.16871,2.03984,1.49961,1.0623,0.009043,0.009043,0.009043
31,695.209,1.92901,1.31583,0.99365,0.27326,0.18879,0.1264,0.05761,2.22936,2.77771,1.12148,0.00901,0.00901,0.00901
32,717.284,1.88449,1.31273,0.98558,0.42546,0.51336,0.45151,0.17592,1.94437,1.42565,1.04604,0.008977,0.008977,0.008977
33,739.511,1.88607,1.31503,0.98054,0.37588,0.54149,0.40712,0.17049,1.88256,1.44797,1.01817,0.008944,0.008944,0.008944
34,761.871,1.87704,1.28508,0.99179,0.36303,0.56118,0.4037,0.17298,1.86066,1.40728,1.0268,0.008911,0.008911,0.008911
35,783.965,1.87534,1.3046,0.97655,0.42476,0.61041,0.46398,0.17951,1.9808,1.3583,1.05601,0.008878,0.008878,0.008878
36,805.957,1.8477,1.27892,0.97371,0.39895,0.59916,0.4386,0.17871,1.89978,1.34044,1.04272,0.008845,0.008845,0.008845
37,828.642,1.87141,1.29488,0.97904,0.40217,0.59494,0.44818,0.19118,1.86416,1.31834,1.01152,0.008812,0.008812,0.008812
38,850.625,1.85518,1.28505,0.96132,0.40687,0.53024,0.41062,0.17686,1.89404,1.42247,1.02203,0.008779,0.008779,0.008779
39,872.912,1.81913,1.24166,0.96124,0.40865,0.55977,0.43049,0.18721,1.88331,1.34244,1.02177,0.008746,0.008746,0.008746
40,894.956,1.79839,1.23214,0.97626,0.37455,0.58368,0.39962,0.14315,2.02565,1.56659,1.04894,0.008713,0.008713,0.008713
41,917.385,1.80125,1.24831,0.96749,0.43657,0.59353,0.47606,0.18341,1.89443,1.30038,1.01548,0.00868,0.00868,0.00868
42,939.714,1.80252,1.22241,0.96458,0.37598,0.56681,0.35976,0.14516,1.97574,1.60003,1.0314,0.008647,0.008647,0.008647
43,961.74,1.78106,1.23877,0.95776,0.41378,0.609,0.45452,0.1723,1.94155,1.3409,1.05104,0.008614,0.008614,0.008614
44,983.924,1.79361,1.24486,0.94315,0.41881,0.62447,0.47407,0.19551,1.88971,1.30822,1.0235,0.008581,0.008581,0.008581
45,1006.36,1.7485,1.21368,0.95717,0.39482,0.54852,0.44061,0.18943,1.86911,1.35519,1.0132,0.008548,0.008548,0.008548
46,1028.62,1.72758,1.21843,0.95382,0.39866,0.46695,0.3729,0.15691,1.96994,1.55205,1.04243,0.008515,0.008515,0.008515
47,1051.21,1.77747,1.21906,0.94922,0.43097,0.61744,0.50234,0.21648,1.82298,1.25457,0.99825,0.008482,0.008482,0.008482
48,1074.08,1.73165,1.19752,0.95687,0.38573,0.62166,0.47907,0.1925,1.89856,1.30126,1.02675,0.008449,0.008449,0.008449
49,1096.29,1.72406,1.19622,0.94455,0.40668,0.58325,0.46565,0.18914,1.94723,1.29975,1.05036,0.008416,0.008416,0.008416
50,1118.57,1.69998,1.16187,0.95154,0.44832,0.62025,0.49809,0.21742,1.81343,1.21056,1.00469,0.008383,0.008383,0.008383
51,1140.83,1.7337,1.18018,0.95561,0.39832,0.65362,0.47928,0.21591,1.76168,1.25722,0.9938,0.00835,0.00835,0.00835
52,1162.84,1.67675,1.1519,0.94144,0.43974,0.62307,0.49811,0.22807,1.72744,1.17673,0.97572,0.008317,0.008317,0.008317
53,1185.4,1.68686,1.16617,0.93431,0.3203,0.40084,0.30696,0.12233,2.17301,1.63136,1.0895,0.008284,0.008284,0.008284
